title,proposer,postedDate,status,admin,closedDate,lifespan,comments,dynasty
"Fixing things up.","Excalabur","03 Aug  2005 05:42:56","Enacted","?","04 Aug 2005  04:16:57",22,8,28
"Theme anyone?","ChronosPhaenon","03 Aug  2005 21:51:57","Enacted","Excalabur","05 Aug 2005  19:39:58",45,7,28
"A Theme, Sort of.","Rodney","03 Aug  2005 22:10:44","Enacted","Excalabur","05 Aug 2005  19:45:47",45,7,28
"Metaantiproposal","75th Trombone","04 Aug  2005 21:31:08","Failed","Excalabur","07 Aug 2005  10:38:10",61,9,28
"Hoping to resolve any disagreement","Cosmologicon","05 Aug  2005 02:03:38","Enacted","Excalabur","07 Aug 2005  10:38:40",56,6,28
"Player fix, with built-in test functionality","Seventy-Fifth Trombone","06 Aug  2005 23:48:50","Enacted","?","08 Aug 2005  15:35:50",39,11,28
"CfJ fix","Seventy-Fifth Trombone","07 Aug  2005 01:04:58","Enacted","?","08 Aug 2005  15:34:59",38,5,28
"World","ChronosPhaenon","09 Aug  2005 11:37:20","Enacted","Excalabur","10 Aug 2005  18:45:22",31,4,28
"Dice","ChronosPhaenon","09 Aug  2005 11:52:15","Failed","Excalabur","11 Aug 2005  05:45:17",41,13,28
"Moves for proposals","Rodney","10 Aug  2005 19:35:00","Enacted","?","11 Aug 2005  15:04:00",19,6,28
"Give me a hand","Quazie","11 Aug  2005 05:22:46","Enacted","?","11 Aug 2005  15:53:47",10,6,28
"Imperials?","Excalabur","11 Aug  2005 07:12:51","Enacted","Excalabur","12 Aug 2005  13:19:52",30,9,28
"Time for some nomic zaniness","Excalabur","11 Aug  2005 07:18:10","Failed","?","12 Aug 2005  13:45:11",30,8,28
"Jackpot","ChronosPhaenon","11 Aug  2005 18:52:17","Enacted","?","12 Aug 2005  13:46:17",18,8,28
"Pass Go","ChronosPhaenon","11 Aug  2005 19:07:44","Enacted","?","12 Aug 2005  13:52:45",18,8,28
"Lexicographing","Seventy-Fifth Trombone","12 Aug  2005 02:13:07","Enacted","?","12 Aug 2005  13:49:07",11,7,28
"Rule Titles","gazebo_dude","12 Aug  2005 17:39:43","Enacted","Excalabur","13 Aug 2005  15:16:45",21,5,28
"Better Advancing","ChronosPhaenon","12 Aug  2005 20:57:58","Failed","Excalabur","14 Aug 2005  15:35:59",42,5,28
"Color Coding","ChronosPhaenon","12 Aug  2005 22:06:38","Enacted","?","14 Aug 2005  16:07:37",42,6,28
"The GNDT disapproves of cheating.","Seventy-Fifth Trombone","12 Aug  2005 23:25:11","Enacted","?","14 Aug 2005  16:09:12",40,6,28
"Abort On Switch","gazebo_dude","13 Aug  2005 00:59:45","Enacted","?","14 Aug 2005  16:08:46",39,9,28
"Teams.","Rodney","15 Aug  2005 00:44:27","Enacted","?","15 Aug 2005  08:49:28",8,5,28
"Warp on blue","Excalabur","15 Aug  2005 02:32:29","Enacted","?","15 Aug 2005  08:50:30",6,6,28
"Proposal #948-48-331","gazebo_dude","15 Aug  2005 04:36:54","Enacted","?","15 Aug 2005  08:49:55",4,5,28
"Black-Out","ChronosPhaenon","15 Aug  2005 15:58:49","Enacted","?","15 Aug 2005  16:30:49",0,8,28
"Different dice for Hand-Jumping","Excalabur","15 Aug  2005 16:19:44","Enacted","Excalabur","15 Aug 2005  22:00:46",5,6,28
"Proper Manners","gazebo_dude","15 Aug  2005 17:12:08","Failed","Excalabur","15 Aug 2005  22:03:10",4,8,28
"Clanhood","gazebo_dude","15 Aug  2005 17:20:17","Enacted","Excalabur","15 Aug 2005  22:06:19",4,7,28
"Homeland benefits","Excalabur","15 Aug  2005 18:29:19","Enacted","Excalabur","15 Aug 2005  22:09:21",3,6,28
"Land Grabby","smith","15 Aug  2005 18:59:45","Enacted","Excalabur","17 Aug 2005  12:46:45",41,7,28
"Demetafication","Seventy-Fifth Trombone","15 Aug  2005 23:56:41","Enacted","Excalabur","17 Aug 2005  12:52:42",36,6,28
"A bit more Pro-Life","Seventy-Fifth Trombone","16 Aug  2005 00:17:25","Enacted","Excalabur","17 Aug 2005  12:55:25",36,8,28
"Yellow needs to play, too","Excalabur","16 Aug  2005 05:21:49","Enacted","Excalabur","17 Aug 2005  12:58:50",31,5,28
"Add to the (nonexistent) items list","Excalabur","16 Aug  2005 05:32:42","Enacted","Excalabur","17 Aug 2005  23:41:42",42,5,28
"Better Advancing Redux","ChronosPhaenon","16 Aug  2005 11:45:33","Enacted","?","18 Aug 2005  10:54:34",47,5,28
"Some Randomness","ChronosPhaenon","16 Aug  2005 11:53:48","Failed","?","18 Aug 2005  10:54:48",47,4,28
"Property","ChronosPhaenon","16 Aug  2005 12:03:29","Failed","?","18 Aug 2005  10:55:29",46,5,28
"The ScivernDaverns are coming!","Rodney","16 Aug  2005 15:16:41","Enacted","?","18 Aug 2005  10:56:42",43,6,28
"Property redux","ChronosPhaenon","18 Aug  2005 18:05:26","Enacted","?","19 Aug 2005  14:02:27",19,7,28
"That who is not my allyâ€¦","ChronosPhaenon","18 Aug  2005 18:12:27","Failed","?","19 Aug 2005  14:01:27",19,7,28
