Month,Active Players,New Players,Proposals,Names
2005-06,1,1,0,"75th Trombone"
2005-07,1,0,0,"75th Trombone"
2005-08,14,13,94,"75th Trombone, Call for Judgment, ChronosPhaenon, Cosmologicon, Excalabur, gazebo_dude, jamuraa, Noah, Plorkyeran, Quazie, Rodney, Seventy-Fifth Trombone, Shadowclaw, smith"
2005-09,11,3,98,"Call for Judgment, ChronosPhaenon, Excalabur, gazebo_dude, gobleteer, jamuraa, Purplebeard, Rodney, Seventy-Fifth Trombone, smith, Tekneek"
2005-10,16,6,92,"90000, Angry Grasshopper, Call for Judgment, ChronosPhaenon, Excalabur, gazebo_dude, gobleteer, Gwydion, jamuraa, Kevan, lunaetic, Purplebeard, Rodney, Shadowclaw, smith, TrumanCapote"
2005-11,12,3,39,"Angry Grasshopper, Cayvie, ChronosPhaenon, Excalabur, Gwydion, Hix, Kevan, Quazie, Rodney, smith, The Lone Amigo, TrumanCapote"
2005-12,22,8,120,"75th Trombone, AgentHH, Angry Grasshopper, Call for Judgment, Cayvie, ChronosPhaenon, danopato, Elias IX, Excalabur, Hix, Kevan, Moonwryn, notafraud, Purplebeard, Quazie, Rodney, Salamander, Saurik, Seventy-Fifth Trombone, smith, The Lone Amigo, vee"
2006-01,22,6,46,"AgentHH, Angry Grasshopper, ChronosPhaenon, danopato, Elias IX, Excalabur, Hix, Igthorn, Josh, Kevan, mes27, notafraud, predisastered, Purplebeard, Quazie, Rodney, Saurik, Seventy-Fifth Trombone, smith, Tagone, The Lone Amigo, WildCard"
2006-02,22,7,67,"90000, Angry Grasshopper, Banja, Bucky, Call for Judgment, David Mega, Elias IX, Excalabur, Hix, Igthorn, JelloGoesWiggle, Josh, Kevan, Personman, predisastered, Purplebeard, Rodney, Scaramouche, Shadowclaw, smith, The Lone Amigo, TigerMoth"
2006-03,26,4,101,"90000, Angry Grasshopper, Banja, Bucky, Call for Judgment, ChronosPhaenon, Ciaran, Elias IX, Excalabur, Hix, Josh, Kevan, Pangolin, Personman, predisastered, puppet lars, Purplebeard, Quazie, Ralff, Rodney, Scaramouche, Seventy-Fifth Trombone, Shadowclaw, smith, The Lone Amigo, TrumanCapote"
2006-04,22,4,39,"90000, Angry Grasshopper, Bucky, Cavaliere Pugrins, ChronosPhaenon, Elias IX, Hix, Igthorn, Josh, Personman, Plorkyeran, predisastered, Purplebeard, Quazie, Ralff, Rodney, Seventy-Fifth Trombone, smith, TAE, The Lone Amigo, Thelonious, TheSmokingMan"
2006-05,12,2,45,"Angry Grasshopper, Bucky, Call for Judgment, Elias IX, Excalabur, Hix, Lex10, Purplebeard, smith, TAE, Thelonious, zorenathres"
2006-06,20,8,82,"75th Trombone, Alcazar, Angry Grasshopper, Bucky, Call for Judgment, Da Vinci, Dreson, Elias IX, Excalabur, Greek Diamond, Greth, Hix, Iron Man, Isolde, Kevan, Purplebeard, Seventy-Fifth Trombone, The Doctor, Thelonious, zorenathres"
2006-07,19,4,118,"Angry Grasshopper, Bucky, ChronosPhaenon, Coldspell, Elias IX, Excalabur, Greth, Hix, Isolde, kaddar, Kevan, Purplebeard, Rodney, Saki, Shadowclaw, TAE, The Doctor, Thelonious, Thorolf"
2006-08,21,6,57,"Angry Grasshopper, aran, Bucky, Cavaliere Pugrins, ChronosPhaenon, Corlindale, Elias IX, epylar, gazebo_dude, Hix, Kevan, Poe, Quazie, Rodney, Saki, Seventy-Fifth Trombone, TAE, Tesla4D, The Lone Amigo, Thelonious, Thrawn"
2006-09,17,1,57,"Angry Grasshopper, Bucky, Cayvie, ChronosPhaenon, Clucky, Cosmologicon, Elias IX, epylar, gazebo_dude, Hix, Kevan, Purplebeard, Rodney, Seventy-Fifth Trombone, The Doctor, Thelonious, Thrawn"
2006-10,12,1,41,"90000, Angry Grasshopper, Bucky, Cayvie, Clucky, Elias IX, epylar, Hix, Purplebeard, Rodney, Thrawn, Tommy"
2006-11,22,8,65,"Angry Grasshopper, aran, Bucky, ChronosPhaenon, Clucky, Combustable, dogfish, Duke, Elias IX, Hix, isaid, Josh, Ornithopter, patio11, Purplebeard, Rhontos, Rodney, Saki, shallowminded, Thrawn, Tommy, TrumanCapote"
2006-12,18,4,67,"alethiophile, Bucky, Call for Judgment, ChronosPhaenon, Clucky, Combustable, Elias IX, Hix, Josh, Lambert, Purplebeard, Rodney, Rotwang, Saki, shallowminded, spikebrennan, Thrawn, Tommy"
2007-01,21,9,70,"alethiophile, brainslug, Bucky, Call for Judgment, ChinDoGu, ChronosPhaenon, Clucky, Combustable, Doremi, Elias IX, Excalabur, Fidelio, Hix, JoshuaGross, peacefulwarrior, pie-is-square, Scaramouche, snowballinhell7001, spikebrennan, The Doctor, viewtyjoe"
2007-02,30,7,113,"alethiophile, Amnistar, Angry Grasshopper, Axeling, BabylonJasmine, Call for Judgment, ChinDoGu, ChronosPhaenon, Clucky, Cosmologicon, Doodle, Doremi, Edometheus, Elias IX, Excalabur, Hix, Josh, Kevan, peacefulwarrior, Purplebeard, Ralff, Rodney, Scaramouche, Seebo, snowballinhell7001, spikebrennan, Tesla4D, The Doctor, Tiberias, viewtyjoe"
2007-03,20,2,59,"alethiophile, Amnistar, Angry Grasshopper, Axeling, BabylonJasmine, Bucky, Call for Judgment, ChronosPhaenon, Clucky, Cosmologicon, Hix, Purplebeard, Rodney, Seebo, snowballinhell7001, spikebrennan, tem2, Tiberias, viewtyjoe, Zebra"
2007-04,20,6,85,"404notfound, alethiophile, Amnistar, Angry Grasshopper, Axeling, BobTHJ, Call for Judgment, ChronosPhaenon, Clucky, Cosmologicon, Elias IX, Enderbean, gobleteer, Hix, joe371, Rodney, Seebo, spikebrennan, Token, Woofy"
2007-05,13,2,31,"alethiophile, Amnistar, Axeling, BobTHJ, Bucky, Chivalrybean, ChronosPhaenon, Clucky, Enderbean, Gazanga, Hix, Rodney, spikebrennan"
2007-06,14,3,64,"75th Trombone, alethiophile, BobTHJ, Brendan, Bucky, Chivalrybean, ChronosPhaenon, Clucky, Denis Brandao, Diomedes, Josh, Kevan, spikebrennan, The Doctor"
2007-07,18,4,69,"90000, alethiophile, Amnistar, Brendan, Bucky, Chivalrybean, ChronosPhaenon, Clucky, Denis Brandao, Elias IX, Hix, Icarus, Josh, Kevan, Night, Oracular rufio, Rodney, Zephyr"
2007-08,21,4,73,"90000, aaronwinborn, alethiophile, Amnistar, banana, BobTHJ, Brendan, Chivalrybean, ChronosPhaenon, Clucky, Darknight, Elias IX, Hix, Icarus, Josh, Kevan, Oracular rufio, Scaramouche, Shane, snowballinhell7001, Zephyr"
2007-09,14,1,42,"75th Trombone, aaronwinborn, alethiophile, Chivalrybean, Clucky, Darknight, Glutama, Hix, Josh, Kevan, Oracular rufio, Scaramouche, snowballinhell7001, Zephyr"
2007-10,21,4,104,"aaronwinborn, Amnistar, BobTHJ, Brendan, Bucky, Chivalrybean, Clucky, Darknight, Dr Zed, Hix, Hockeyruler, Igthorn, Kevan, Oracular rufio, Rodlen, Rodney, Shadowclaw, spikebrennan, Tesla4D, Tiberias, Zaratustra"
